Data;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18
29/07/2014; ; ; ; ;-3,85;-1,1;-1,75;-1;-0,99;-0,94;2,51;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
30/07/2014; ; ; ; ;-3,85;-1,1;-1,75;-1;-0,99;-0,94;2,51;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
31/07/2014; ; ; ; ;-3,85;-1,1;-1,75;-1;-0,99;-0,94;2,51;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
01/08/2014; ; ; ; ; ;-2,4;-1,75;-1;-0,99;-0,94;2,51;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
04/08/2014; ; ; ; ; ;-2,4;-1,75;-1,6;-0,99;-0,94;2,45;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
05/08/2014; ; ; ; ; ;-2,4;-1,75;-1,6;-0,99;-0,94;2,45;1,7;2;1,79;1,7;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
06/08/2014; ; ; ; ; ;-2,4;-1,75;-1,6;-0,99;-0,94;2,2;1,7;1,85;1,79;1,22;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
07/08/2014; ; ; ; ; ;-2,4;-1,75;-1,6;-0,99;-0,94;2,2;1,7;1,85;1,79;1,22;1,05;1,7;1,4;1,4;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
08/08/2014; ; ; ; ; ;-2,53;-1,88;-2;-1;-0,95;2;1,65;1,7;1,75;1,11;1,02;1,7;1,3;1,37;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
11/08/2014; ; ; ; ; ;-2,53;-2;-1,6;-1;-0,95;2;1,6;1,6;1,7;1;1;1,7;1,2;1,33;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
